"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203394_s_at",-0.598157500000002,8.23996375,-3.36660658753593,0.00799503055262037,0.999986929681086,-3.64140550195349
"208963_x_at",-0.6858,9.500485,-3.35605022600288,0.0081322828122944,0.999986929681086,-3.64518411884352
"205366_s_at",-0.610462499999999,8.63449375,-3.35353390090037,0.0081653597197556,0.999986929681086,-3.64608652014127
"229339_at",0.930390000000001,6.3664825,3.35165898955182,0.00819009616646293,0.999986929681086,-3.64675932151792
"231382_at",-0.913757499999999,7.23640875,-3.34394108576326,0.00829274436621088,0.999986929681086,-3.64953265173466
"214825_at",0.647704999999998,6.2896675,3.34198670228509,0.00831894916288634,0.999986929681086,-3.65023590561306
"240407_at",-0.605372500000003,7.06574625,-3.34019074892969,0.00834310553743311,0.999986929681086,-3.65088249690202
"231947_at",1.729525,6.2544825,3.33893488595135,0.00836004073531982,0.999986929681086,-3.65133483805554
"230275_at",-0.629884999999999,7.205865,-3.33874266582184,0.00836263595531506,0.999986929681086,-3.65140408687579
"237384_x_at",0.768885,3.61279,3.33482322698445,0.00841573631645715,0.999986929681086,-3.6528169233426
"1569403_at",-0.862264999999999,4.8081875,-3.30089237917989,0.0088903237300704,0.999986929681086,-3.6651138689484
"227280_s_at",0.638652499999999,9.61839875,3.28624242289615,0.00910373516548533,0.999986929681086,-3.67045969004214
"219534_x_at",-0.531295,6.71455,-3.28247507840098,0.00915946945109922,0.999986929681086,-3.67183796239849
"242565_x_at",-0.532952499999999,7.08119375,-3.27641249705496,0.00924990331026217,0.999986929681086,-3.67405899242019
"209774_x_at",-0.7735925,6.25923375,-3.27143883361853,0.00932478487804022,0.999986929681086,-3.67588390663033
"207813_s_at",-0.653519999999997,9.1048075,-3.2668150643161,0.00939496203426845,0.999986929681086,-3.67758271002225
"1559966_a_at",0.6348075,5.22217875,3.26602383810549,0.00940702557550697,0.999986929681086,-3.67787363094167
