"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","8/47","71/9512",0.112676056338028,22.8037159124963,12.9942853960933,1.60309850325737e-09,1.77283834477874e-08,7.34546682607093e-09,"3725/3576/1432/2920/2921/5599/4790/5970",8
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","9/47","109/9512",0.0825688073394495,16.7105211789967,11.624447866047,2.31243985114623e-09,2.41521495564162e-08,1.00070496482352e-08,"2353/3725/3320/3326/1432/3569/5599/4790/5970",9
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","11/47","227/9512",0.0484581497797357,9.80710469584778,9.46361021423651,9.18256523420269e-09,9.08590665279003e-08,3.76459738133518e-08,"2353/3725/3162/1432/1728/6647/6648/847/5599/4790/5970",11
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","9/47","133/9512",0.0676691729323308,13.6950887857943,10.3892693480363,1.3528548699461e-08,1.27168357774933e-07,5.26901370400058e-08,"6446/4616/10912/1432/6648/847/3569/3643/5599",9
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","11/47","238/9512",0.046218487394958,9.35383515108171,9.19692287117052,1.50367629808204e-08,1.34614830494964e-07,5.57754616832436e-08,"2353/3725/3576/1432/3569/7124/3627/6347/5599/4790/5970",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/47","100/9512",0.08,16.1906382978723,10.7606070991511,2.52103969659702e-08,2.12720249788961e-07,8.8137169565415e-08,"3576/3569/7124/2920/2921/6374/3627/6347",8
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","11/47","251/9512",0.0438247011952191,8.86937356955158,8.90327507724427,2.60973742060453e-08,2.12720249788961e-07,8.8137169565415e-08,"2353/3725/3576/3320/3326/1432/3569/7124/5599/4790/5970",11
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","9/47","144/9512",0.0625,12.6489361702128,9.92534887813009,2.71557765688035e-08,2.12720249788961e-07,8.8137169565415e-08,"3576/1432/3569/7124/2920/2921/5599/4790/5970",9
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/47","196/9512",0.0510204081632653,10.3256621797655,9.29596940246815,2.92746909281459e-08,2.20145675779657e-07,9.12137738392757e-08,"2353/3725/3576/1432/3569/2920/2921/5599/4790/5970",10
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/47","103/9512",0.0776699029126214,15.7190663086139,10.5834887018602,3.18582543011919e-08,2.3035968494708e-07,9.54457821169312e-08,"3315/3576/3569/7124/2920/2921/4790/5970",8
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","8/47","105/9512",0.0761904761904762,15.4196555217832,10.4694935483735,3.7086276714433e-08,2.49007857939764e-07,1.03172348754438e-07,"4616/10912/3576/7124/2920/2921/4790/5970",8
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","8/47","105/9512",0.0761904761904762,15.4196555217832,10.4694935483735,3.7086276714433e-08,2.49007857939764e-07,1.03172348754438e-07,"3725/1432/3569/7124/5599/4790/5970/3659",8
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","10/47","205/9512",0.0487804878048781,9.87234042553191,9.04923738978928,4.48701283921551e-08,2.90882211645695e-07,1.20522304937186e-07,"3725/4616/10912/1432/3569/7124/3627/5599/4790/5970",10
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/47","72/9512",0.0972222222222222,19.6761229314421,11.2090468826669,5.22470480300764e-08,3.27414834321812e-07,1.35659001902654e-07,"3576/1432/7124/3627/5599/4790/5970",7
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","8/47","112/9512",0.0714285714285714,14.4559270516717,10.0939330350283,6.16412900055742e-08,3.73824597453159e-07,1.54888131083616e-07,"8651/3303/3304/1432/7124/5599/4790/5970",8
