PROBE,logFC,AveExpr,t,P.Value,adj.P.Val,B
1552541_at,-0.059445000000002,7.3020375,-0.519046055941452,0.615927622624113,0.999986929681086,-4.77633501497967
1552542_s_at,0.0262199999999995,4.1045775,0.227191134467491,0.825221061653306,0.999986929681086,-4.82050552843129
1552543_a_at,-0.124509999999999,4.3613175,-0.870091862256808,0.406280244220552,0.999986929681086,-4.68317205587297
1552544_at,0.15536,5.09797,1.70787458991425,0.120952976273187,0.999986929681086,-4.34662287142909
1552546_a_at,-0.0964974999999999,5.43408875,-0.602933507670528,0.56105451833999,0.999986929681086,-4.75775284010887
1552548_at,-0.134222499999999,3.90367875,-1.13222159160063,0.28605974620266,0.999986929681086,-4.59089051971242
1552549_a_at,0.0838074999999998,5.89298375,0.635317141471042,0.540630072756534,0.999986929681086,-4.74992605599754
1552552_s_at,0.0370174999999993,3.65478375,0.305871349059582,0.766480280674203,0.999986929681086,-4.81186916349387
1552553_a_at,0.0740775000000005,3.67856875,0.537302511613902,0.603752045669043,0.999986929681086,-4.77250315447616
1552554_a_at,-0.0172049999999997,4.3723125,-0.150952846330696,0.883256333299795,0.999986929681086,-4.82647867093566
1552555_at,0.196797500000001,6.14310875,1.95897086705416,0.0809373290978875,0.999986929681086,-4.23198091969129
1552557_a_at,-0.0813875000000013,3.86262375,-0.529349117455063,0.609040782745477,0.999986929681086,-4.7741872210496
1552558_a_at,0.0312624999999986,6.63398125,0.208744803198395,0.839175599152516,0.999986929681086,-4.82216861441483
1552559_a_at,0.0666825000000006,6.21803875,0.472724529419118,0.64737386999266,0.999986929681086,-4.78551433659909
1552562_at,-0.168950000000001,4.9450425,-0.958655136458089,0.362137242636612,0.999986929681086,-4.65385982658835
1552563_a_at,-0.0489099999999989,3.0613725,-0.567648916144054,0.583797234028848,0.999986929681086,-4.76587068504584
1552564_at,-0.292882500000001,4.34930375,-2.8757586299417,0.0178255447966978,0.999986929681086,-3.82902527716302
1552566_at,-0.0296475000000003,4.82483875,-0.186843500118794,0.855820516679338,0.999986929681086,-4.82396305932072
1552568_at,-0.00679499999999944,5.796155,-0.0480355642641629,0.962709923417518,0.999986929681086,-4.83074019462315
1552569_a_at,-0.0845600000000015,6.0461425,-0.793237096386378,0.447524167514677,0.999986929681086,-4.70686444710313
1552570_at,-0.00891499999999867,3.576765,-0.0926961526034606,0.928123236380926,0.999986929681086,-4.82943069335563
1552572_a_at,-0.0440224999999996,2.89632375,-0.331985864309653,0.747304970955072,0.999986929681086,-4.80845665224173
1552573_s_at,-0.1940075,4.23296125,-1.18746472811872,0.264665365334691,0.999986929681086,-4.56950471593907
1552575_a_at,0.0713500000000007,4.2064775,0.663548569755597,0.523184108506597,0.999986929681086,-4.74281518568489
1552576_at,0.0607674999999999,5.00646375,0.465111738155329,0.652615481410576,0.999986929681086,-4.78694740802621
