Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
HDAC11-AS1,0.5250190707099531,3.6295844546168207e-7,0.0014426948170259207,0.4141093750794955,NA,FALSE,Not Significant
HDAC2,3025.3201150768623,4.9991280217986835e-6,0.0014425416081646867,0.38254950578616814,0.961578319633542,FALSE,Not Significant
HDAC2-AS2,6.174889392964022,1.4399739752214632e-6,0.0014426923787704345,0.2981622294589203,0.9425830200847998,FALSE,Not Significant
HDAC3,2066.8548598806487,-1.3772815169196086e-5,0.0014425685990795158,0.19880827211963603,0.9312943246797288,FALSE,Not Significant
HDAC4,1029.4169739967658,-3.3947744632351075e-7,0.0014426523076251378,0.9495011869161448,0.9970533522676487,FALSE,Not Significant
HDAC4-AS1,8.111079526762815,1.3859182081263893e-6,0.0014426873965658644,0.563692228601167,0.9750268195238267,FALSE,Not Significant
HDAC5,3985.1774355714806,1.8133485653797994e-5,0.0014426617294412362,0.6732109310448234,0.9802205185694565,FALSE,Not Significant
HDAC6,2053.9747162249414,-6.178245206942059e-6,0.0014425141692577278,0.5939883372866799,0.976773164853676,FALSE,Not Significant
HDAC7,3247.1716041766867,-2.626582769610539e-6,0.001442609909053,0.7377938523660814,0.9811502535907305,FALSE,Not Significant
HDAC8,975.7700242714651,1.3040509775143751e-5,0.0014425803603468098,0.20075947777493103,0.9325540565420516,FALSE,Not Significant
HDAC9,13.54678815362606,-2.397312162316528e-6,0.0014426915685036487,0.16278036229206844,0.9084999536372373,FALSE,Not Significant
HDC,184.61647162190175,-8.195550044200171e-7,0.001442687462842436,0.7057730447867339,0.9802205185694565,FALSE,Not Significant
HDDC2,1099.5881305045632,4.095754149037904e-6,0.0014425884085178004,0.6460857825685157,0.9802205185694565,FALSE,Not Significant
HDDC3,218.80522581924615,-1.2917975389098288e-6,0.001442662450285875,0.789391097603834,0.9851041574168997,FALSE,Not Significant
HDGF,11099.829955220624,-2.4281839461000882e-5,0.0014425390566793342,0.07539245489725256,0.8485279109130743,FALSE,Not Significant
HDGFL1,0.2753878615824801,-1.0788047248414093e-7,0.0014426949668870826,0.762812130021467,NA,FALSE,Not Significant
HDGFL2,3294.753685853253,-9.317995228196284e-6,0.0014425734967284934,0.3476795488587297,0.9535313811168485,FALSE,Not Significant
HDGFL3,1094.5845318341617,-1.1880605289980944e-6,0.0014425591997904847,0.903654107167586,0.9912170771074192,FALSE,Not Significant
HDHD2,1178.0997721755398,5.119200612315936e-6,0.0014425002803908433,0.6702905419333577,0.9802205185694565,FALSE,Not Significant
HDHD3,2419.3045704108977,-9.190108306507777e-6,0.0014426831055346485,0.8799681002779853,0.9873407478340492,FALSE,Not Significant
HDHD5,1975.544636557718,-6.300094820481074e-6,0.0014425954497399556,0.4715346450704872,0.969632718548309,FALSE,Not Significant
HDHD5-AS1,2.060493458613751,-1.4945403833450049e-6,0.0014426928644567928,0.27018857970640153,NA,FALSE,Not Significant
HDLBP,23723.219345048452,-1.4789461221437834e-5,0.001442465378933805,0.28711283181430064,0.9425830200847998,FALSE,Not Significant
HDX,105.19426613055474,1.644169197541055e-6,0.0014426283099918534,0.8140193750754394,0.9855185000046172,FALSE,Not Significant
HEATR1,1047.8315111804834,9.699421380526561e-6,0.0014426280138850214,0.20687202867926968,0.9353783114923916,FALSE,Not Significant
HEATR3,663.2869830078856,-8.016655993372195e-6,0.0014425606737485108,0.4334053433503942,0.969570611484839,FALSE,Not Significant
HEATR4,3.2739589855980853,-5.817824847112176e-7,0.0014426919027837103,0.6939082802393752,NA,FALSE,Not Significant
